Regiao,Consumo,Data
Norte,3.033.623,2022-01
Nordeste,7.269.935,2022-01
Sudeste,20.526.803,2022-01
Sul,8.495.715,2022-01
Centro-Oeste,3.254.143,2022-01
Norte,2.774.994,2022-02
Nordeste,6.998.206,2022-02
Sudeste,20.326.412,2022-02
Sul,8.542.969,2022-02
Centro-Oeste,3.201.552,2022-02
Norte,3.003.639,2022-03
Nordeste,7.459.576,2022-03
Sudeste,22.018.183,2022-03
Sul,8.763.541,2022-03
Centro-Oeste,3.372.490,2022-03
Norte,2.935.354,2022-04
Nordeste,7.240.388,2022-04
Sudeste,21.769.759,2022-04
Sul,7.905.047,2022-04
Centro-Oeste,3.407.133,2022-04
Norte,3.100.076,2022-05
Nordeste,7.271.204,2022-05
Sudeste,20.788.847,2022-05
Sul,7.536.736,2022-05
Centro-Oeste,3.354.987,2022-05
Norte,3.254.854,2022-06
Nordeste,7.104.761,2022-06
Sudeste,19.948.620,2022-06
Sul,7.629.542,2022-06
Centro-Oeste,3.294.887,2022-06
Norte,3.120.429,2022-07
Nordeste,7.021.728,2022-07
Sudeste,19.924.574,2022-07
Sul,7.588.737,2022-07
Centro-Oeste,3.277.801,2022-07
Norte,3.418.846,2022-08
Nordeste,7.280.151,2022-08
Sudeste,20.376.353,2022-08
Sul,7.645.256,2022-08
Centro-Oeste,3.400.608,2022-08
Norte,3.380.412,2022-09
Nordeste,7.422.700,2022-09
Sudeste,20.442.843,2022-09
Sul,7.536.752,2022-09
Centro-Oeste,3.535.779,2022-09
Norte,3.421.293,2022-10
Nordeste,7.644.765,2022-10
Sudeste,20.496.295,2022-10
Sul,7.417.894,2022-10
Centro-Oeste,3.538.894,2022-10
Norte,3.303.481,2022-11
Nordeste,7.770.458,2022-11
Sudeste,20.581.355,2022-11
Sul,7.580.349,2022-11
Centro-Oeste,3.472.783,2022-11
Norte,3.309.523,2022-12
Nordeste,7.692.127,2022-12
Sudeste,20.763.406,2022-12
Sul,8.006.829,2022-12
Centro-Oeste,3.453.736,2022-12
Norte,3.179.390,2023-01
Nordeste,7.661.411,2023-01
Sudeste,20.159.474,2023-01
Sul,8.299.477,2023-01
Centro-Oeste,3.240.419,2023-01
Norte,2.962.217,2023-02
Nordeste,7.494.725,2023-02
Sudeste,20.704.476,2023-02
Sul,8.623.366,2023-02
Centro-Oeste,3.236.577,2023-02
Norte,3.327.773,2023-03
Nordeste,7.914.539,2023-03
Sudeste,22.083.389,2023-03
Sul,8.953.570,2023-03
Centro-Oeste,3.443.926,2023-03
Norte,3.213.743,2023-04
Nordeste,7.809.122,2023-04
Sudeste,21.706.203,2023-04
Sul,8.645.237,2023-04
Centro-Oeste,3.510.642,2023-04
Norte,3.393.478,2023-05
Nordeste,7.940.968,2023-05
Sudeste,20.584.053,2023-05
Sul,7.868.683,2023-05
Centro-Oeste,3.377.696,2023-05
Norte,3.383.445,2023-06
Nordeste,7.727.778,2023-06
Sudeste,20.480.714,2023-06
Sul,7.697.985,2023-06
Centro-Oeste,3.367.783,2023-06
Norte,3.426.421,2023-07
Nordeste,7.463.808,2023-07
Sudeste,20.135.945,2023-07
Sul,7.717.651,2023-07
Centro-Oeste,3.270.954,2023-07
Norte,3.601.723,2023-08
Nordeste,7.737.155,2023-08
Sudeste,20.744.961,2023-08
Sul,7.800.008,2023-08
Centro-Oeste,3.547.301,2023-08
Norte,3.679.263,2023-09
Nordeste,8.056.889,2023-09
Sudeste,21.190.187,2023-09
Sul,7.820.102,2023-09
Centro-Oeste,3.731.095,2023-09
Norte,3.728.981,2023-10
Nordeste,8.202.190,2023-10
Sudeste,22.135.334,2023-10
Sul,8.053.990,2023-10
Centro-Oeste,3.954.614,2023-10
Norte,3.628.495,2023-11
Nordeste,8.478.291,2023-11
Sudeste,22.489.273,2023-11
Sul,8.035.720,2023-11
Centro-Oeste,4.034.655,2023-11
Norte,3.554.579,2023-12
Nordeste,8.484.311,2023-12
Sudeste,22.841.022,2023-12
Sul,8.375.045,2023-12
Centro-Oeste,3.968.295,2023-12
Norte,3.469.530,2024-01
Nordeste,8.401.502,2024-01
Sudeste,22.368.249,2024-01
Sul,8.906.007,2024-01
Centro-Oeste,3.698.877,2024-01
Norte,3.313.458,2024-02
Nordeste,8.159.711,2024-02
Sudeste,22.055.646,2024-02
Sul,9.166.410,2024-02
Centro-Oeste,3.627.000,2024-02
Norte,3.469.863,2024-03
Nordeste,8.205.119,2024-03
Sudeste,23.022.453,2024-03
Sul,9.367.062,2024-03
Centro-Oeste,3.772.770,2024-03
Norte,3.483.336,2024-04
Nordeste,8.326.755,2024-04
Sudeste,22.685.708,2024-04
Sul,9.090.639,2024-04
Centro-Oeste,3.764.427,2024-04
Norte,3.636.729,2024-05
Nordeste,8.328.494,2024-05
Sudeste,22.864.311,2024-05
Sul,8.437.997,2024-05
Centro-Oeste,3.782.836,2024-05
Norte,3.573.033,2024-06
Nordeste,8.236.601,2024-06
Sudeste,21.993.493,2024-06
Sul,8.118.205,2024-06
Centro-Oeste,3.634.396,2024-06
Norte,3.712.511,2024-07
Nordeste,7.990.119,2024-07
Sudeste,21.316.336,2024-07
Sul,8.150.277,2024-07
Centro-Oeste,3.638.471,2024-07
Norte,3.817.977,2024-08
Nordeste,8.172.603,2024-08
Sudeste,21.766.619,2024-08
Sul,8.443.248,2024-08
Centro-Oeste,3.691.648,2024-08
Norte,3.880.289,2024-09
Nordeste,8.320.626,2024-09
Sudeste,22.176.926,2024-09
Sul,8.106.424,2024-09
Centro-Oeste,3.815.524,2024-09
Norte,3.943.219,2024-10
Nordeste,8.351.352,2024-10
Sudeste,23.040.009,2024-10
Sul,8.317.064,2024-10
Centro-Oeste,4.143.241,2024-10
Norte,3.829.626,2024-11
Nordeste,8.744.034,2024-11
Sudeste,22.183.276,2024-11
Sul,8.657.521,2024-11
Centro-Oeste,3.910.956,2024-11
Norte,3.767.891,2024-12
Nordeste,8.742.761,2024-12
Sudeste,22.425.190,2024-12
Sul,8.411.681,2024-12
Centro-Oeste,3.790.681,2024-12
